2026-05-13 09:42:06 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Bhardwaj Diagnostic Center-FBD: 2 → 3
2026-05-13 09:42:07 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 09:42:07 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 09:42:07 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 09:42:07 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Preesha Healthcare-FBD
2026-05-13 09:42:08 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_094207_pre_inv_inc_Preesha_Healthcare.xlsx
2026-05-13 09:42:08 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 09:42:08 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Preesha Healthcare-FBD: 2 → 3
2026-05-13 09:42:09 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 09:42:09 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 09:42:09 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 09:42:09 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Dr Sanjay Singla - FBD
2026-05-13 09:42:09 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_094209_pre_inv_inc_Dr_Sanjay_Singla__.xlsx
2026-05-13 09:42:09 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 09:42:09 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Dr Sanjay Singla - FBD: 2 → 3
2026-05-13 09:42:10 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 09:42:10 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 09:42:10 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 09:42:11 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Kalra Childcare Centre - FBD
2026-05-13 09:42:11 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_094211_pre_inv_inc_Kalra_Childcare_Ce.xlsx
2026-05-13 09:42:11 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 09:42:11 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Kalra Childcare Centre - FBD: 3 → 4
2026-05-13 09:42:12 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 09:42:12 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 09:42:12 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 09:42:12 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Oxyvibe Hyperbaric Clinic-FBD
2026-05-13 09:42:12 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_094212_pre_inv_inc_Oxyvibe_Hyperbaric.xlsx
2026-05-13 09:42:12 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 09:42:13 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Oxyvibe Hyperbaric Clinic-FBD: 2 → 3
2026-05-13 09:42:13 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 09:42:13 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 09:42:13 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 09:42:14 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Dr. Manvi Gupta C/O Sachin Hospital
2026-05-13 09:42:14 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_094214_pre_inv_inc_Dr__Manvi_Gupta_C_.xlsx
2026-05-13 09:42:14 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 09:42:14 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Dr. Manvi Gupta C/O Sachin Hospital: 2 → 3
2026-05-13 09:42:15 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 09:42:15 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 09:42:15 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 09:42:15 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Samarpan Hospital-FBD
2026-05-13 09:42:15 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_094215_pre_inv_inc_Samarpan_Hospital_.xlsx
2026-05-13 09:42:15 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 09:42:16 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Samarpan Hospital-FBD: 2 → 3
2026-05-13 09:42:16 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 09:42:16 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 09:42:16 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 09:42:17 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Dr Prince Pareek-FBD
